Proptype,Locality,Count,lat,lng,ROI
ASRAMA,"TAMAN UNIVERSITI, ULU LANGAT",334,2.943521,101.796394,-23529.58941
ASRAMA,"WARISAN CITY VIEW APARTMENT, KUALA LUMPUR",20,3.1261805,101.7216323,0.877801404
KONDOMINIUM,"10 MON'T KIARA, KUALA LUMPUR",216,3.1701645,101.655962,20.06418651
KONDOMINIUM,"11 MONT KIARA, KUALA LUMPUR",137,3.1687873,101.6550759,4.964244198
KONDOMINIUM,"162 RESIDENCY, GOMBAK",127,3.248177,101.6502858,28.49232607
KONDOMINIUM,"1A STONOR APT (CONLAY COURT), KUALA LUMPUR",36,3.15057,101.71773,13.38147091
KONDOMINIUM,"1 SENTUL, KUALA LUMPUR",183,3.2000062,101.6895732,28.81239561
KONDOMINIUM,"20 TREES (P/L 500 DAN 501), GOMBAK",79,3.2195491,101.7518151,23.42105002
KONDOMINIUM,"288 RESIDENCES, KUALA LUMPUR",63,3.0807905,101.6878833,10.07767016
KONDOMINIUM,"288 RESIDENCY, KUALA LUMPUR",89,3.1968352,101.7075856,11.68694547
KONDOMINIUM,"28 MONT KIARA, KUALA LUMPUR",119,3.1736786,101.6523066,0.659268668
KONDOMINIUM,"2 HAMPSHIRE, KUALA LUMPUR",76,3.1617803,101.7163094,-1.822607717
KONDOMINIUM,"3 RESIDEN MELAWATI, KUALA LUMPUR",78,3.2215674,101.7358282,16.65994002
KONDOMINIUM,"633 RESIDENCY, KUALA LUMPUR",39,3.1334325,101.693042,9.701941852
KONDOMINIUM,"6 CAPSQUARE, KUALA LUMPUR",13,3.1541815,101.7001324,4.085538195
KONDOMINIUM,"8 PETALING, KUALA LUMPUR",37,3.0661907,101.6907735,2.948768818
KONDOMINIUM,"ABADI VILLA, KUALA LUMPUR",141,3.0957026,101.6835318,32.56134897
KONDOMINIUM,"ALAM PURI 51, KUALA LUMPUR",125,3.207827,101.674009,28.85124581
KONDOMINIUM,"ALMASPURI, KUALA LUMPUR",74,3.169726,101.6525858,21.68764836
KONDOMINIUM,"ALPHA VILLA, KUALA LUMPUR",70,3.201293,101.7351191,29.17719589
KONDOMINIUM,"ALTITUDE 236, KUALA LUMPUR",57,3.0763034,101.7354661,3.10047511
KONDOMINIUM,"AMADESA RESORT, KUALA LUMPUR",357,3.0845323,101.702258,34.22620214
KONDOMINIUM,"AMANDARI CONDOMINIUM, KUALA LUMPUR",42,3.1836399,101.6469785,30.7935051
KONDOMINIUM,"AMAN HEIGHTS, PETALING",292,3.0264489,101.6914601,34.73640644
